,runtime,log_budget,log_revenue,log_popularity,log_vote_count,num_genres,is_english,is_adult,is_summer,is_holiday,is_friday_release,has_budget,has_revenue,budget_tier,is_major_studio,dir_avg_rating,dir_movie_count,dir_max_rating,dir_experienced,dir_avg_votes,num_keywords,num_prod_companies,release_month,release_quarter,genre_Action,genre_Adventure,genre_Animation,genre_Comedy,genre_Crime,genre_Documentary,genre_Drama,genre_Family,genre_Fantasy,genre_History,genre_Horror,genre_Music,genre_Mystery,genre_Romance,genre_Science Fiction,genre_TV Movie,genre_Thriller,genre_War,genre_Western,vote_average
0,148.0,19.11382792951231,21.376552598024606,5.23145615004082,9.814656338829513,3,1,0,0,1,0,1,1,5.0,1,7.99,1,7.99,0,18299.0,24,3,12,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7.99
1,192.0,19.946737049621326,21.564940896978396,5.490114719178981,9.193295937366925,3,1,0,0,1,0,1,1,5.0,1,7.246,2,7.654,0,4943.5,14,2,12,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7.654
2,108.0,18.132998684833918,19.140337383198787,3.9186013207882686,9.175231194862615,2,1,0,0,0,0,1,1,4.0,1,7.0,1,7.0,0,9654.0,46,5,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0
3,101.0,18.826145858727198,18.730988242616757,3.9095399251343395,9.156306483483696,5,1,0,0,1,1,1,1,5.0,1,8.15,1,8.15,0,9473.0,8,2,12,4,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,8.15
4,155.0,18.92145603792546,19.8120318755302,4.341829444922468,9.150696519048667,2,1,0,0,0,0,1,1,5.0,0,7.789,1,7.789,0,9420.0,28,1,9,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7.789
5,134.0,19.11382792951231,19.755026680344205,4.047532440436297,9.137662146478197,3,1,0,1,0,0,1,1,5.0,1,7.303,1,7.303,0,9298.0,11,1,7,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7.303
6,242.0,18.064005814299346,0.0,4.880450675722129,9.127284796838858,3,1,0,0,0,0,1,0,4.0,1,6.247,2,8.19,0,6420.0,10,6,3,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8.19
7,97.0,18.5159909328476,20.04375247801845,4.510694657765206,9.125109227613523,3,1,0,0,0,0,1,1,5.0,1,6.833,1,6.833,0,9182.0,13,5,9,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6.833
8,114.0,19.11382792951231,19.968490232804573,4.605220184738133,9.113939597689829,3,1,0,0,0,0,1,1,5.0,0,7.661,1,7.661,0,9080.0,10,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,7.661
9,99.0,18.258161826219297,19.582942671319078,4.002009951019304,9.0940312495758,4,1,0,0,0,0,1,1,4.0,1,7.569999999999999,2,7.57,0,6563.0,13,5,2,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,7.345
